Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,3085.030029,3112.840088,3084.770020,3100.330078,3100.330078,0
2013-07-02,3096.830078,3115.929932,3081.770020,3096.939941,3096.939941,0
2013-07-03,3082.330078,3111.870117,3079.209961,3104.429932,3104.429932,0
2013-07-05,3133.540039,3138.399902,3104.260010,3138.370117,3138.370117,0
2013-07-08,3154.320068,3166.090088,3151.070068,3161.520020,3161.520020,0
2013-07-09,3180.320068,3185.179932,3166.429932,3179.070068,3179.070068,0
2013-07-10,3179.379883,3189.629883,3170.709961,3188.270020,3188.270020,0
2013-07-11,3224.070068,3238.229980,3217.449951,3237.270020,3237.270020,0
2013-07-12,3234.040039,3258.260010,3233.929932,3258.250000,3258.250000,0
2013-07-15,3260.159912,3262.949951,3251.520020,3256.100098,3256.100098,0
2013-07-16,3259.030029,3260.540039,3235.360107,3243.340088,3243.340088,0
2013-07-17,3253.199951,3255.689941,3245.090088,3253.949951,3253.949951,0
2013-07-18,3248.820068,3269.350098,3248.370117,3259.939941,3259.939941,0
2013-07-19,3255.080078,3262.280029,3249.010010,3257.540039,3257.540039,0
2013-07-22,3272.929932,3272.969971,3254.719971,3265.679932,3265.679932,0
2013-07-23,3272.709961,3276.449951,3252.010010,3255.489990,3255.489990,0
2013-07-24,3265.709961,3269.010010,3224.350098,3230.899902,3230.899902,0
2013-07-25,3230.760010,3254.179932,3226.689941,3252.810059,3252.810059,0
2013-07-26,3234.439941,3266.669922,3232.840088,3266.449951,3266.449951,0
2013-07-29,3258.330078,3264.310059,3240.590088,3246.070068,3246.070068,0
2013-07-30,3256.669922,3259.649902,3237.600098,3240.760010,3240.760010,0
2013-07-31,3258.659912,3282.419922,3257.830078,3260.699951,3260.699951,0
2013-08-01,3284.590088,3314.959961,3284.590088,3311.570068,3311.570068,0
2013-08-02,3307.020020,3325.399902,3295.879883,3324.699951,3324.699951,0
2013-08-05,3317.649902,3328.040039,3317.620117,3328.010010,3328.010010,0
2013-08-06,3319.649902,3325.820068,3296.550049,3313.479980,3313.479980,0
2013-08-07,3306.429932,3307.520020,3279.229980,3289.250000,3289.250000,0
2013-08-08,3311.239990,3323.729980,3292.840088,3315.080078,3315.080078,0
2013-08-09,3315.000000,3327.550049,3302.949951,3313.780029,3313.780029,0
2013-08-12,3297.139893,3319.320068,3295.129883,3315.370117,3315.370117,0
2013-08-13,3320.689941,3325.689941,3296.290039,3316.909912,3316.909912,0
2013-08-14,3311.300049,3312.739990,3287.629883,3288.070068,3288.070068,0
2013-08-15,3254.550049,3255.399902,3222.659912,3231.189941,3231.189941,0
