Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,230.220001,232.830002,229.740005,229.970001,229.970001,0
2013-07-02,229.330002,231.860001,228.509995,229.220001,229.220001,0
2013-07-03,228.550003,231.910004,228.550003,230.889999,230.889999,0
2013-07-05,231.660004,231.880005,229.009995,231.649994,231.649994,0
2013-07-08,232.610001,232.660004,230.580002,231.919998,231.919998,0
2013-07-09,232.770004,235.009995,232.610001,234.509995,234.509995,0
2013-07-10,234.419998,237.229996,234.419998,236.600006,236.600006,0
2013-07-11,238.839996,241.119995,238.789993,240.880005,240.880005,0
2013-07-12,240.960007,242.279999,240.399994,242.279999,242.279999,0
2013-07-15,242.169998,243.830002,241.550003,243.529999,243.529999,0
2013-07-16,243.580002,243.740005,241.539993,242.029999,242.029999,0
2013-07-17,242.520004,243.350006,241.460007,242.460007,242.460007,0
2013-07-18,243.059998,245.199997,242.690002,243.179993,243.179993,0
2013-07-19,243.639999,244.050003,242.320007,243.360001,243.360001,0
2013-07-22,243.979996,243.979996,241.630005,243.550003,243.550003,0
2013-07-23,243.860001,244.080002,242.190002,242.479996,242.479996,0
2013-07-24,244.470001,244.869995,241.240005,241.880005,241.880005,0
2013-07-25,242.000000,242.610001,241.070007,242.300003,242.300003,0
2013-07-26,240.520004,241.660004,239.699997,241.649994,241.649994,0
2013-07-29,240.889999,241.600006,239.619995,240.529999,240.529999,0
2013-07-30,241.589996,244.440002,241.350006,242.479996,242.479996,0
2013-07-31,242.929993,243.710007,241.940002,242.169998,242.169998,0
2013-08-01,244.029999,245.199997,243.500000,245.020004,245.020004,0
2013-08-02,244.220001,246.580002,243.820007,246.580002,246.580002,0
2013-08-05,246.029999,248.460007,246.029999,248.059998,248.059998,0
2013-08-06,248.029999,248.429993,246.089996,246.779999,246.779999,0
2013-08-07,248.050003,248.880005,246.169998,246.449997,246.449997,0
2013-08-08,247.710007,247.800003,246.820007,247.330002,247.330002,0
2013-08-09,248.779999,249.130005,245.500000,246.750000,246.750000,0
2013-08-12,245.929993,249.750000,245.929993,249.050003,249.050003,0
2013-08-13,249.610001,250.449997,247.660004,249.570007,249.570007,0
2013-08-14,249.820007,249.889999,247.820007,249.389999,249.389999,0
2013-08-15,239.309998,240.440002,237.759995,238.509995,238.509995,0
2013-08-16,238.750000,239.279999,236.839996,236.889999,236.889999,0
2013-08-19,236.449997,238.529999,235.490005,235.529999,235.529999,0
2013-08-20,235.600006,237.919998,235.440002,236.860001,236.860001,0
2013-08-21,236.710007,237.759995,234.889999,235.000000,235.000000,0
2013-08-22,235.270004,236.440002,235.220001,235.570007,235.570007,0
2013-08-23,235.990005,236.660004,235.460007,235.820007,235.820007,0
2013-08-26,235.679993,237.039993,234.929993,235.399994,235.399994,0
2013-08-27,233.139999,234.100006,231.190002,231.240005,231.240005,0
2013-08-28,231.050003,232.139999,230.869995,231.440002,231.440002,0
2013-08-29,233.750000,235.979996,233.750000,234.500000,234.500000,0
2013-08-30,234.750000,234.789993,232.149994,233.020004,233.020004,0
2013-09-03,234.899994,235.929993,233.649994,234.399994,234.399994,0
2013-09-04,234.740005,238.070007,234.720001,237.779999,237.779999,0
2013-09-05,238.440002,238.940002,237.300003,238.210007,238.210007,0
2013-09-06,239.550003,239.860001,236.270004,237.619995,237.619995,0
2013-09-09,238.580002,241.580002,238.570007,241.479996,241.479996,0
2013-09-10,242.059998,243.169998,241.699997,242.869995,242.869995,0
2013-09-11,243.220001,244.649994,242.949997,244.610001,244.610001,0
2013-09-12,244.649994,244.699997,243.339996,243.600006,243.600006,0
2013-09-13,244.169998,244.639999,243.139999,244.160004,244.160004,0
2013-09-16,245.770004,246.020004,244.080002,244.690002,244.690002,0
2013-09-17,244.539993,246.149994,244.220001,245.630005,245.630005,0
2013-09-18,245.529999,249.089996,245.389999,248.839996,248.839996,0
2013-09-19,246.940002,248.190002,246.309998,247.570007,247.570007,0
2013-09-20,248.089996,248.139999,244.750000,245.360001,245.360001,0
2013-09-23,244.949997,245.000000,242.009995,243.750000,243.750000,0
2013-09-24,242.869995,245.369995,242.179993,244.089996,244.089996,0
2013-09-25,244.710007,246.679993,244.190002,245.690002,245.690002,0
2013-09-26,245.419998,246.309998,242.550003,243.080002,243.080002,0
2013-09-27,240.399994,241.880005,239.130005,240.809998,240.809998,0
2013-09-30,238.669998,241.919998,238.119995,241.669998,241.669998,0
2013-10-01,241.080002,243.820007,241.029999,243.240005,243.240005,0
2013-10-02,241.889999,244.509995,241.259995,244.360001,244.360001,0
2013-10-03,244.210007,244.250000,240.949997,241.669998,241.669998,0
2013-10-04,241.330002,243.250000,241.190002,242.889999,242.889999,0
2013-10-07,240.419998,243.259995,239.990005,242.009995,242.009995,0
2013-10-08,242.050003,242.550003,238.399994,238.520004,238.520004,0
2013-10-09,238.470001,239.130005,235.559998,237.350006,237.350006,0
2013-10-10,238.850006,242.360001,238.809998,242.000000,242.000000,0
2013-10-11,241.979996,244.729996,241.619995,244.479996,244.479996,0
2013-10-14,243.279999,245.449997,242.940002,245.380005,245.380005,0
2013-10-15,244.830002,245.250000,243.619995,243.630005,243.630005,0
2013-10-16,244.619995,246.279999,244.100006,245.300003,245.300003,0
2013-10-17,244.750000,246.050003,243.070007,245.949997,245.949997,0
