Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,470.019989,472.760010,467.290009,467.730011,467.730011,0
2013-07-02,466.880005,472.880005,465.260010,468.179993,468.179993,0
2013-07-03,465.750000,471.709991,465.119995,469.799988,469.799988,0
2013-07-05,472.279999,476.320007,470.540009,476.119995,476.119995,0
2013-07-08,477.470001,477.750000,464.839996,466.500000,466.500000,0
2013-07-09,470.600006,472.579987,469.299988,471.410004,471.410004,0
2013-07-10,470.329987,477.609985,470.140015,476.700012,476.700012,0
2013-07-11,481.059998,486.850006,481.059998,486.559998,486.559998,0
2013-07-12,487.940002,490.119995,486.730011,489.609985,489.609985,0
2013-07-15,489.799988,490.500000,488.329987,489.329987,489.329987,0
2013-07-16,490.299988,493.230011,488.989990,491.059998,491.059998,0
2013-07-17,491.339996,493.200012,489.920013,491.579987,491.579987,0
2013-07-18,492.100006,492.100006,485.739990,487.220001,487.220001,0
2013-07-19,484.420013,486.220001,481.739990,486.170013,486.170013,0
2013-07-22,487.010010,487.010010,483.100006,485.149994,485.149994,0
2013-07-23,486.739990,490.119995,482.790009,483.519989,483.519989,0
2013-07-24,483.239990,483.660004,473.950012,474.690002,474.690002,0
2013-07-25,473.429993,477.429993,471.899994,477.399994,477.399994,0
2013-07-26,472.950012,473.160004,470.470001,473.119995,473.119995,0
2013-07-29,471.760010,473.630005,469.130005,469.970001,469.970001,0
2013-07-30,471.109985,476.519989,471.100006,475.589996,475.589996,0
2013-07-31,476.109985,480.700012,475.850006,477.779999,477.779999,0
2013-08-01,481.929993,486.790009,481.760010,486.600006,486.600006,0
2013-08-02,483.980011,483.980011,480.429993,483.380005,483.380005,0
2013-08-05,481.489990,482.750000,480.559998,482.140015,482.140015,0
2013-08-06,481.339996,482.029999,477.109985,478.679993,478.679993,0
2013-08-07,477.220001,477.220001,472.200012,474.119995,474.119995,0
2013-08-08,475.540009,476.470001,471.589996,474.309998,474.309998,0
2013-08-09,472.709991,474.609985,470.929993,471.760010,471.760010,0
2013-08-12,470.149994,475.029999,469.820007,473.619995,473.619995,0
2013-08-13,475.529999,479.760010,472.239990,479.070007,479.070007,0
2013-08-14,472.809998,475.730011,470.839996,471.339996,471.339996,0
2013-08-15,464.519989,465.429993,460.510010,460.839996,460.839996,0
2013-08-16,460.339996,466.750000,460.339996,462.459991,462.459991,0
2013-08-19,462.140015,464.070007,459.040009,459.290009,459.290009,0
2013-08-20,459.619995,463.540009,458.750000,461.829987,461.829987,0
2013-08-21,459.459991,462.470001,456.929993,458.529999,458.529999,0
2013-08-22,460.170013,464.730011,460.109985,463.829987,463.829987,0
2013-08-23,464.380005,464.910004,461.250000,463.820007,463.820007,0
2013-08-26,464.619995,465.839996,462.190002,462.920013,462.920013,0
2013-08-27,458.089996,458.089996,450.559998,451.209991,451.209991,0
2013-08-28,452.209991,458.720001,452.200012,456.390015,456.390015,0
2013-08-29,456.170013,463.140015,456.170013,461.820007,461.820007,0
2013-08-30,461.890015,462.290009,456.230011,457.700012,457.700012,0
2013-09-03,462.940002,467.209991,459.230011,461.640015,461.640015,0
2013-09-04,464.549988,474.470001,463.170013,473.559998,473.559998,0
2013-09-05,474.230011,478.000000,474.130005,477.040009,477.040009,0
2013-09-06,478.899994,479.119995,471.239990,475.100006,475.100006,0
2013-09-09,477.190002,482.540009,477.059998,481.420013,481.420013,0
2013-09-10,485.420013,490.679993,485.420013,490.649994,490.649994,0
2013-09-11,488.720001,490.350006,484.760010,489.040009,489.040009,0
2013-09-12,489.010010,490.160004,485.579987,486.059998,486.059998,0
2013-09-13,486.950012,488.369995,483.799988,488.230011,488.230011,0
2013-09-16,492.179993,493.880005,489.640015,490.350006,490.350006,0
2013-09-17,492.380005,494.369995,491.700012,493.399994,493.399994,0
2013-09-18,493.299988,498.070007,491.290009,497.670013,497.670013,0
2013-09-19,498.950012,500.239990,494.500000,496.089996,496.089996,0
2013-09-20,497.519989,498.959991,492.730011,493.149994,493.149994,0
2013-09-23,494.829987,496.260010,489.239990,491.290009,491.290009,0
2013-09-24,493.690002,497.010010,491.010010,494.730011,494.730011,0
2013-09-25,495.290009,497.660004,492.010010,494.950012,494.950012,0
2013-09-26,496.769989,498.079987,492.820007,494.709991,494.709991,0
2013-09-27,492.149994,493.100006,489.779999,490.809998,490.809998,0
2013-09-30,485.410004,492.630005,484.549988,490.829987,490.829987,0
2013-10-01,491.489990,496.859985,491.450012,495.769989,495.769989,0
2013-10-02,492.670013,495.429993,491.899994,495.100006,495.100006,0
2013-10-03,495.369995,497.480011,488.910004,493.799988,493.799988,0
2013-10-04,494.089996,498.859985,493.890015,497.720001,497.720001,0
2013-10-07,492.790009,498.700012,492.209991,495.089996,495.089996,0
2013-10-08,495.630005,496.589996,485.320007,486.820007,486.820007,0
2013-10-09,487.890015,488.640015,480.130005,485.109985,485.109985,0
2013-10-10,490.029999,497.029999,489.940002,496.480011,496.480011,0
2013-10-11,493.519989,498.920013,492.739990,497.380005,497.380005,0
2013-10-14,493.950012,501.790009,493.720001,500.980011,500.980011,0
2013-10-15,500.410004,502.130005,496.119995,496.500000,496.500000,0
2013-10-16,497.040009,501.950012,497.000000,501.579987,501.579987,0
2013-10-17,497.940002,505.410004,496.410004,505.089996,505.089996,0
2013-10-18,504.500000,506.769989,502.269989,506.440002,506.440002,0
2013-10-21,507.079987,508.480011,505.970001,508.040009,508.040009,0
2013-10-22,507.769989,508.750000,504.279999,507.119995,507.119995,0
2013-10-23,497.160004,497.160004,487.720001,490.109985,490.109985,0
2013-10-24,493.859985,496.329987,493.140015,494.149994,494.149994,0
2013-10-25,495.820007,496.839996,494.339996,496.299988,496.299988,0
2013-10-28,496.309998,500.260010,495.410004,499.489990,499.489990,0
2013-10-29,501.540009,507.070007,501.540009,507.040009,507.040009,0
2013-10-30,507.390015,508.750000,502.329987,504.329987,504.329987,0
2013-10-31,505.390015,510.170013,505.040009,507.089996,507.089996,0
2013-11-01,507.929993,509.290009,503.570007,505.399994,505.399994,0
2013-11-04,506.250000,506.359985,503.570007,504.679993,504.679993,0
2013-11-05,501.390015,505.070007,498.750000,503.130005,503.130005,0
2013-11-06,504.709991,505.079987,501.769989,504.910004,504.910004,0
2013-11-07,503.980011,504.200012,494.440002,495.200012,495.200012,0
2013-11-08,496.089996,500.989990,493.459991,500.980011,500.980011,0
2013-11-11,499.709991,501.290009,497.820007,500.399994,500.399994,0
2013-11-12,499.209991,503.880005,499.070007,503.609985,503.609985,0
2013-11-13,501.429993,508.130005,500.700012,508.000000,508.000000,0
2013-11-14,506.640015,507.410004,504.619995,505.390015,505.390015,0
2013-11-15,507.220001,509.470001,503.000000,508.940002,508.940002,0
2013-11-18,508.839996,509.709991,503.260010,504.220001,504.220001,0
2013-11-19,503.670013,504.929993,497.299988,497.880005,497.880005,0
2013-11-20,498.489990,499.820007,494.299988,495.630005,495.630005,0
2013-11-21,497.429993,504.519989,497.100006,504.230011,504.230011,0
2013-11-22,502.980011,505.100006,502.010010,504.609985,504.609985,0
2013-11-25,505.040009,505.309998,500.649994,504.010010,504.010010,0
2013-11-26,505.230011,509.299988,504.630005,508.320007,508.320007,0
2013-11-27,506.359985,510.220001,505.140015,510.010010,510.010010,0
2013-11-29,510.380005,512.450012,509.779999,510.250000,510.250000,0
2013-12-02,510.440002,512.070007,508.779999,509.399994,509.399994,0
2013-12-03,508.380005,512.890015,508.079987,511.200012,511.200012,0
2013-12-04,509.070007,512.270020,505.209991,508.769989,508.769989,0
2013-12-05,509.299988,511.910004,508.529999,509.950012,509.950012,0
2013-12-06,515.739990,517.039978,514.400024,515.630005,515.630005,0
2013-12-09,516.619995,518.969971,516.059998,516.809998,516.809998,0
2013-12-10,516.330017,517.890015,513.900024,515.340027,515.340027,0
2013-12-11,514.900024,516.840027,509.839996,510.170013,510.170013,0
2013-12-12,510.179993,511.200012,505.559998,505.839996,505.839996,0
2013-12-13,507.540009,508.540009,504.299988,505.519989,505.519989,0
2013-12-16,512.020020,515.109985,511.869995,512.150024,512.150024,0
2013-12-17,512.190002,518.710022,512.190002,517.179993,517.179993,0
2013-12-18,516.719971,521.190002,509.640015,521.070007,521.070007,0
2013-12-19,519.880005,519.880005,515.580017,517.780029,517.780029,0
2013-12-20,518.080017,523.599976,517.929993,522.090027,522.090027,0
2013-12-23,524.130005,527.099976,523.799988,526.650024,526.650024,0
2013-12-24,526.750000,529.530029,526.719971,528.349976,528.349976,0
2013-12-26,529.820007,530.960022,528.530029,529.830017,529.830017,0
2013-12-27,531.250000,531.590027,529.419983,529.960022,529.960022,0
2013-12-30,529.640015,532.179993,529.320007,531.570007,531.570007,0
2013-12-31,533.030029,535.789978,532.650024,535.030029,535.030029,0
2014-01-02,530.669983,530.750000,525.950012,527.750000,527.750000,0
2014-01-03,526.909973,528.270020,524.460022,526.679993,526.679993,0
2014-01-06,527.099976,527.099976,522.880005,523.770020,523.770020,0
2014-01-07,525.150024,528.289978,524.479980,527.429993,527.429993,0
2014-01-08,532.039978,535.890015,530.239990,535.760010,535.760010,0
2014-01-09,535.729980,536.190002,529.580017,531.489990,531.489990,0
2014-01-10,533.359985,534.690002,531.349976,533.700012,533.700012,0
2014-01-13,533.109985,534.890015,526.260010,527.659973,527.659973,0
2014-01-14,529.150024,540.140015,529.099976,539.609985,539.609985,0
2014-01-15,541.270020,545.750000,541.239990,544.210022,544.210022,0
2014-01-16,543.190002,544.159973,540.099976,541.049988,541.049988,0
2014-01-17,538.419983,541.989990,536.900024,538.140015,538.140015,0
2014-01-21,540.640015,541.760010,537.190002,541.500000,541.500000,0
2014-01-22,541.039978,547.919983,540.239990,547.469971,547.469971,0
2014-01-23,544.059998,544.429993,538.559998,541.489990,541.489990,0
2014-01-24,538.900024,539.320007,528.559998,528.890015,528.890015,0
2014-01-27,529.869995,531.489990,522.280029,525.270020,525.270020,0
2014-01-28,523.780029,528.659973,522.260010,527.539978,527.539978,0
2014-01-29,524.030029,529.929993,523.909973,525.140015,525.140015,0
2014-01-30,529.890015,533.330017,527.609985,531.960022,531.960022,0
2014-01-31,525.570007,531.630005,525.469971,529.179993,529.179993,0
2014-02-03,528.140015,529.200012,516.429993,517.460022,517.460022,0
2014-02-04,518.030029,519.119995,515.320007,518.340027,518.340027,0
2014-02-05,516.500000,520.690002,512.719971,518.460022,518.460022,0
2014-02-06,519.900024,527.799988,519.630005,526.669983,526.669983,0
2014-02-07,529.580017,535.609985,526.960022,535.309998,535.309998,0
2014-02-10,534.780029,538.500000,534.349976,538.039978,538.039978,0
2014-02-11,538.479980,546.229980,538.250000,544.859985,544.859985,0
2014-02-12,545.919983,550.340027,545.869995,549.479980,549.479980,0
2014-02-13,547.169983,556.039978,546.340027,556.020020,556.020020,0
2014-02-14,555.130005,559.890015,553.440002,559.119995,559.119995,0
2014-02-18,558.969971,560.919983,556.229980,560.450012,560.450012,0
2014-02-19,558.919983,562.590027,558.380005,560.020020,560.020020,0
2014-02-20,560.760010,564.690002,559.340027,564.059998,564.059998,0
2014-02-21,565.330017,566.260010,559.849976,561.210022,561.210022,0
2014-02-24,563.140015,567.159973,562.849976,563.369995,563.369995,0
2014-02-25,563.979980,564.340027,557.830017,560.539978,560.539978,0
2014-02-26,562.309998,568.239990,562.260010,564.289978,564.289978,0
2014-02-27,563.679993,565.109985,560.250000,564.219971,564.219971,0
2014-02-28,564.299988,565.989990,559.760010,563.830017,563.830017,0
2014-03-03,558.260010,561.599976,555.000000,560.229980,560.229980,0
2014-03-04,566.770020,570.849976,566.729980,570.130005,570.130005,0
2014-03-05,569.929993,572.580017,568.909973,571.299988,571.299988,0
2014-03-06,572.460022,575.539978,570.630005,575.020020,575.020020,0
2014-03-07,576.859985,577.640015,572.570007,574.390015,574.390015,0
2014-03-10,574.099976,575.760010,570.820007,573.219971,573.219971,0
2014-03-11,574.630005,576.320007,568.570007,570.080017,570.080017,0
2014-03-12,568.700012,575.010010,566.010010,574.919983,574.919983,0
2014-03-13,576.200012,577.969971,562.289978,565.140015,565.140015,0
2014-03-14,564.969971,567.630005,562.150024,562.479980,562.479980,0
2014-03-17,565.530029,571.239990,565.530029,569.500000,569.500000,0
2014-03-18,569.619995,577.469971,569.049988,577.190002,577.190002,0
2014-03-19,577.030029,580.849976,573.179993,576.690002,576.690002,0
2014-03-20,576.030029,587.690002,575.780029,587.630005,587.630005,0
2014-03-21,589.400024,590.109985,580.890015,582.539978,582.539978,0
2014-03-24,583.979980,585.640015,575.460022,579.849976,579.849976,0
2014-03-25,583.270020,587.669983,581.159973,584.330017,584.330017,0
2014-03-26,587.940002,591.109985,577.830017,577.840027,577.840027,0
2014-03-27,577.570007,580.020020,572.010010,573.320007,573.320007,0
2014-03-28,574.830017,582.190002,574.440002,577.479980,577.479980,0
2014-03-31,580.830017,588.400024,580.690002,586.739990,586.739990,0
2014-04-01,589.520020,595.909973,588.849976,595.909973,595.909973,0
2014-04-02,596.239990,597.219971,592.030029,594.940002,594.940002,0
2014-04-03,598.049988,601.400024,593.200012,595.929993,595.929993,0
2014-04-04,600.409973,600.690002,578.369995,579.190002,579.190002,0
2014-04-07,577.210022,582.590027,570.679993,573.909973,573.909973,0
2014-04-08,574.869995,581.900024,574.380005,581.179993,581.179993,0
2014-04-09,585.280029,588.080017,581.150024,587.719971,587.719971,0
2014-04-10,587.080017,588.450012,568.809998,569.150024,569.150024,0
2014-04-11,563.770020,571.500000,559.219971,560.340027,560.340027,0
2014-04-14,564.750000,567.929993,559.650024,565.020020,565.020020,0
2014-04-15,565.960022,570.489990,558.710022,569.000000,569.000000,0
2014-04-16,568.380005,568.460022,559.659973,567.900024,567.900024,0
2014-04-17,571.150024,581.409973,570.849976,578.409973,578.409973,0
2014-04-21,581.729980,583.869995,576.109985,583.479980,583.479980,0
