Tweet,Date,Retweets,Likes
just landed in north dakota with @senjohnhoeven and @repkevincramer. we will see everyone at scheels arena shortly! https://t.co/pakuigkb61,Wed Jun 27 23:14:58 +0000 2018,7926,44687
"today, it was my great honor to welcome president marcelo rebelo de sousa of portugal to the @whitehouse!🇺🇸🇵🇹 https://t.co/yd37k4ei8r",Wed Jun 27 21:18:03 +0000 2018,10706,58927
heading to north dakota to fully stand with and endorse kevin cramer for senate. he is an extraordinary congressman… https://t.co/qmnirsctdt,Wed Jun 27 20:28:58 +0000 2018,13374,59418
statement on justice anthony kennedy. #scotus https://t.co/8awj6fwema,Wed Jun 27 19:13:34 +0000 2018,11178,47623
"today, i was thrilled to join student leaders from colleges and universities across the country... https://t.co/oqp3ncoee4",Wed Jun 27 17:33:03 +0000 2018,11488,55675
"harley-davidson should stay 100% in america, with the people that got you your success. i’ve done so much for you,… https://t.co/knmrud0swh",Wed Jun 27 15:26:24 +0000 2018,18821,85595
"supreme court rules in favor of non-union workers who are now, as an example, able to support a candidate of his or… https://t.co/zzlprigb26",Wed Jun 27 14:11:05 +0000 2018,24260,105814
"house republicans should pass the strong but fair immigration bill, known as goodlatte ii, in their afternoon vote… https://t.co/7nprgsnjnw",Wed Jun 27 12:39:56 +0000 2018,23018,100627
"congratulations to maxine waters, whose crazy rants have made her, together with nancy pelosi, the unhinged face of… https://t.co/cusne1izm7",Wed Jun 27 11:18:02 +0000 2018,38462,161288
big and conclusive win by mitt romney. congratulations! i look forward to working together - there is so much good… https://t.co/cqjlaldkkc,Wed Jun 27 03:52:16 +0000 2018,9811,63745
the legendary gary player at turnberry in scotland! https://t.co/3ogoqwhhta,Wed Jun 27 02:59:30 +0000 2018,5190,33969
a great first lady! https://t.co/pt35alui4c,Wed Jun 27 02:54:46 +0000 2018,15939,91355
rt @the_trump_train: @realdonaldtrump  https://t.co/9ubtcayzkq,Wed Jun 27 02:50:11 +0000 2018,10278,0
the democrats are in turmoil! open borders and unchecked crime a certain way to lose elections. republicans are for… https://t.co/sri2ctydds,Wed Jun 27 02:47:23 +0000 2018,18945,84080
"wow! big trump hater congressman joe crowley, who many expected was going to take nancy pelosi’s place, just lost h… https://t.co/4tuoklapmj",Wed Jun 27 02:18:31 +0000 2018,25072,123207
"tremendous win for congressman dan donovan. you showed great courage in a tough race! new york, and my many friends… https://t.co/jvrcgzpcg8",Wed Jun 27 02:05:19 +0000 2018,14673,75794
congratulations to governor henry mcmaster on your big election win! south carolina loves you. we are all proud of… https://t.co/jwlzkh1s99,Wed Jun 27 01:52:50 +0000 2018,13527,67332
"today, we tell the story of an incredible hero who defended our nation in world war two – first lieutenant garlin m… https://t.co/nrpii7c3kk",Tue Jun 26 20:12:05 +0000 2018,15653,72964
supreme court upholds trump travel ban. wow!,Tue Jun 26 14:40:42 +0000 2018,38172,173469
“the most profound question of our era: was there a conspiracy in the obama department of justice and the fbi to pr… https://t.co/ey5jfbwzmt,Tue Jun 26 13:30:44 +0000 2018,29285,108767
"the face of the democrats is now maxine waters who, together with nancy pelosi, have established a fine leadership… https://t.co/k95es4evl2",Tue Jun 26 12:36:18 +0000 2018,25311,99990
a harley-davidson should never be built in another country-never! their employees and customers are already very an… https://t.co/ituqaixwhj,Tue Jun 26 12:17:49 +0000 2018,20217,90093
"it was great being with governor henry mcmaster last night in south carolina. henry is tough on crime and borders,… https://t.co/xpg4k94arl",Tue Jun 26 11:57:00 +0000 2018,15797,73280
....we are finishing our study of tariffs on cars from the e.u. in that they have long taken advantage of the u.s.… https://t.co/mobnxwsfyl,Tue Jun 26 11:49:57 +0000 2018,12659,58945
